ID_temporada,colocacao,id_clube,pontos,partd_jgds,vitoria,empate,derrota,goals_feito,goals_tomados,goals_diferenca
1,12,3,61,46,17,10,19,67,72,-5
1,6,5,72,46,19,15,12,76,62,14
1,24,7,46,46,12,10,24,59,92,-33
1,15,13,59,46,15,12,19,61,63,-2
1,5,14,73,46,21,10,15,67,58,9
1,14,15,60,46,17,9,20,57,69,-12
1,1,16,100,46,31,7,8,102,47,55
1,11,19,65,46,17,14,15,62,54,8
1,8,20,66,46,18,12,16,66,73,-7
1,19,21,52,46,13,11,22,52,77,-25
1,23,22,49,46,12,13,21,58,74,-16
1,9,23,65,46,18,11,17,78,63,15
1,21,24,50,46,13,11,22,54,68,-14
1,13,25,61,46,17,10,19,64,72,-8
1,7,26,72,46,20,10,16,59,57,2
1,18,29,53,46,12,14,20,55,70,-15
1,10,32,65,46,18,11,17,85,75,10
1,22,33,49,46,15,12,19,74,77,-3
1,20,34,50,46,11,18,17,63,73,-10
1,2,38,87,46,25,12,9,93,60,33
1,4,39,74,46,19,14,13,53,37,16
1,3,40,78,46,22,12,12,81,67,14
1,17,42,54,46,13,15,18,57,69,-12
1,16,43,56,46,15,11,20,50,64,-14
2,2,3,86,46,25,11,10,93,56,37
2,19,5,53,46,12,17,17,60,66,-6
2,20,9,51,46,11,18,17,62,71,-9
2,5,13,74,46,20,14,12,54,54,0
2,12,14,62,46,15,17,14,53,48,5
2,21,15,50,46,13,11,22,61,78,-17
2,13,16,56,46,16,8,22,69,81,-12
2,11,19,63,46,17,12,17,57,59,-2
2,17,20,54,46,13,15,18,51,53,-2
2,9,21,67,46,18,13,15,65,68,-3
2,6,23,72,46,21,9,16,81,68,13
2,24,24,39,46,9,12,25,60,80,-20
2,22,25,49,46,11,16,19,43,55,-12
2,8,26,67,46,20,7,19,66,59,7
2,7,29,70,46,20,10,16,60,66,-6
2,4,31,79,46,22,13,11,72,47,25
2,15,32,54,46,15,9,22,52,73,-21
2,14,33,56,46,14,14,18,56,76,-20
2,10,34,64,46,19,7,20,43,73,-30
2,1,38,89,46,27,8,11,103,58,45
2,18,39,53,46,23,8,15,65,49,16
2,3,40,82,46,24,10,12,78,43,35
2,16,42,54,46,14,12,20,64,68,-4
2,23,43,48,46,13,9,24,68,87,-19
3,6,3,61,42,18,7,17,76,67,9
3,20,5,47,42,13,8,21,54,59,-5
3,9,9,59,42,17,8,17,57,56,1
3,22,10,41,42,10,11,21,47,67,-20
3,1,13,81,42,24,9,9,87,59,28
3,19,14,49,42,13,10,19,51,60,-9
3,8,16,60,42,17,9,16,73,72,1
3,16,19,53,42,14,11,17,65,72,-7
3,15,20,55,42,14,13,15,56,60,-4
3,5,21,68,42,19,11,12,79,70,9
3,13,22,55,42,16,7,19,58,64,-6
3,3,23,74,42,22,8,12,68,51,17
3,2,26,78,42,23,9,10,72,49,23
3,14,29,55,42,15,10,17,66,72,-6
3,4,31,70,42,20,10,12,81,65,16
